"Name","City","State","Access","Count","Latitude","Longitude","Wall","Proshop","Indoor","Lights","Surface"
"Equestrian Club","West Palm Beach - Boca Raton","FL","Private",2,26.6318176,-80.2711666,"No","No","No","No","Clay"
"Willow Lake","Orlando","FL","Private",1,28.6690988,-81.4754999,"No","No","No","No","Hard"
"Whitman Middle Home","Milwaukee","WI","Public",4,43.0691385,-88.052845,"No","No","No","No","Hard"
"Villages at Spring Hill","Nashville","TN","Private",2,35.7503849,-86.9373867,"No","No","No","Yes","Hard"
"Summit Park Townhomes","Denver","CO","Private",1,39.6401407,-104.81457,"No","No","No","No","Hard"
"AMLI at West Paces","Atlanta","GA","Private",1,33.8506728,-84.4318521,"No","No","No","Yes","Hard"
"Asheforde","Atlanta","GA","Private",2,33.9854313,-84.3875742,"No","No","No","Yes","Hard"
"Ennisbrook Subdivision","Atlanta","GA","Private",2,33.8760186,-84.5418012,"No","No","No","Yes","Hard"
"LeMoyne Park","Detroit","MI","Public",2,42.2772611,-83.3299389,"No","No","No","No","Hard"
"Stonewall","Atlanta","GA","Private",2,33.6805594,-84.5954454,"No","No","No","No","Hard"
"Tecumseh Park","Detroit","MI","Public",2,41.9991372,-83.9603627,"No","No","No","No","Hard"
"Royal Crest Estates","Providence","RI","Private",2,41.6934803,-71.483295,"No","No","No","Yes","Hard"
"River Point Condo","Norfolk-Virginia Beach","VA","Private",1,36.7417987,-76.5728295,"No","No","No","No","Hard"
"Venice High School","Los Angeles","CA","Public",4,33.9976448,-118.4420478,"Yes","No","No","Yes","Hard"
"Paragon Park","Los Angeles","CA","Public",2,33.8225921,-117.2205806,"Yes","No","No","Yes","Hard"
"Rancho Mirage Coach Club","Los Angeles","CA","Private",1,34.6805112,-118.0927706,"No","No","No","Yes","Hard"
"Rolling Hills Estates","Los Angeles","CA","Private",2,33.7615599,-118.3894229,"No","No","No","Yes","Hard"
"Canyons Apartments","Los Angeles","CA","Private",1,33.88595,-117.7334082,"No","No","No","Yes","Hard"
"Auburn Mountainview High School","Seattle","WA","Public",7,47.3422397,-122.1690953,"No","No","No","Yes","Hard"
"Highline High School","Seattle","WA","Public",4,47.4653668,-122.3303711,"No","No","No","No","Hard"
"Mission San Jose Park","San Francisco - Oakland - San Jose","CA","Public",6,37.5457853,-121.9377279,"No","No","No","Yes","Hard"
"Miami Jackson High School","Miami-Fort Lauderdale","FL","Public",4,25.8113756,-80.2277684,"No","No","No","No","Hard"
"Blanche Ely High School.","Miami-Fort Lauderdale","FL","Public",6,26.2427128,-80.1352859,"Yes","No","No","No","Hard"
"Oasis at Springtree","Miami-Fort Lauderdale","FL","Private",1,26.1698343,-80.2647829,"No","No","No","Yes","Hard"
"The Waves","Miami-Fort Lauderdale","FL","Private",2,26.1329878,-80.2686346,"No","No","No","Yes","Hard"
